variant,variant_label,condition,n,pd_at_fixed_fa_mean,pd_at_fixed_fa_sd,fa_at_fixed_pd_mean,fa_at_fixed_pd_sd,low_fa_pauc_mean,low_fa_pauc_sd,pd_at_0_5_mean,pd_at_0_5_sd,fa_at_0_5_mean,fa_at_0_5_sd,auc_mean,auc_sd,auc_dense_grid_mean,auc_dense_grid_sd,pixel_iou_at_0_5_mean,pixel_iou_at_0_5_sd,pixel_f1_at_0_5_mean,pixel_f1_at_0_5_sd,elapsed_seconds_mean,elapsed_seconds_sd,cuda_peak_allocated_gib_mean,cuda_peak_allocated_gib_sd,cuda_peak_reserved_gib_mean,cuda_peak_reserved_gib_sd,parameters_m_mean,parameters_m_sd,delta_pd_at_fixed_fa_mean,delta_pd_at_fixed_fa_sd,delta_fa_at_fixed_pd_mean,delta_fa_at_fixed_pd_sd,delta_low_fa_pauc_mean,delta_low_fa_pauc_sd,delta_pd_at_0_5_mean,delta_pd_at_0_5_sd,delta_fa_at_0_5_mean,delta_fa_at_0_5_sd,delta_auc_mean,delta_auc_sd,delta_auc_dense_grid_mean,delta_auc_dense_grid_sd,delta_pixel_iou_at_0_5_mean,delta_pixel_iou_at_0_5_sd,delta_pixel_f1_at_0_5_mean,delta_pixel_f1_at_0_5_sd,delta_elapsed_seconds_mean,delta_elapsed_seconds_sd,delta_cuda_peak_allocated_gib_mean,delta_cuda_peak_allocated_gib_sd,delta_cuda_peak_reserved_gib_mean,delta_cuda_peak_reserved_gib_sd,delta_parameters_m_mean,delta_parameters_m_sd,fa_at_fixed_pd_relative_reduction_mean,fa_at_fixed_pd_relative_reduction_sd,latency_ratio_mean,latency_ratio_sd
none,B1 DeepPro-Plus,clean_val,3,1.0,0.0,1.6393432855740174e-05,5.024097906506786e-07,0.8360656714425984,0.005024097906506807,1.0,0.0,2.180031648887999e-05,1.4428293186662132e-06,0.9989498819124698,5.024097907394675e-07,0.9989498819124698,5.024097906400645e-07,0.9671939904673718,0.00824816567614964,0.9833115062680949,0.004272777640320529,8.434227546056112,0.10462879925860886,1.4956417083740234,0.0,1.603515625,0.0,0.070913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
none,B1 DeepPro-Plus,noise8_val,3,0.9323062558356675,0.01847908168348719,0.22272918334906244,0.04496025216528206,0.00024188968348185378,6.527222977159958e-05,0.9323062558356675,0.01847908168348719,0.22339758141009144,0.044711821611271636,0.8922758823828314,0.019886081742102588,0.8922919278621081,0.019870969284566754,0.0008451262726367584,0.00011945798475281886,0.0016888062962072952,0.00023850849297320275,7.782804250717163,0.07575024826857664,1.4956417083740234,0.0,1.603515625,0.0,0.070913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
temporal_control,C0 temporal control,clean_val,3,1.0,0.0,1.9774597000981874e-05,2.793913806277674e-07,0.8483027661641867,0.011624498439606834,1.0,0.0,2.091257471330111e-05,9.039630742946822e-07,0.9989511220721511,1.1567698091097434e-06,0.9989511220721511,1.1567698090435266e-06,0.9689063985520234,0.004630218927857585,0.9842039298504742,0.002391510091956551,8.497646252314249,0.06862495841069352,1.4956440925598145,0.0,1.603515625,0.0,0.071233,0.0,0.0,0.0,3.381164145241704e-06,6.807583632609877e-07,0.012237094721588515,0.013146996970818337,0.0,0.0,-8.87741775578878e-07,7.285891633171364e-07,1.2401596812446531e-06,1.3074698803504245e-06,1.2401596812446531e-06,1.3074698802654728e-06,0.0017124080846517102,0.004037417469552122,0.000892423582379361,0.0020952404152619355,0.06341870625813802,0.08992183294313172,2.384185791015625e-06,0.0,0.0,0.0,0.00032000000000000084,0.0,-0.20716951162529537,0.04766046895986915,1.0075872289444492,0.010793809676760998
temporal_control,C0 temporal control,noise8_val,3,0.9430438842203547,0.01314463886582736,0.2202930292609222,0.05396347967778722,0.0003290364597378194,4.700754186832115e-05,0.8933239962651728,0.028153815307422458,0.1604643544866112,0.011847095430037065,0.9162655161061039,0.007358518758902899,0.9162554035239144,0.007385136727499744,0.0009886427754318523,3.482282068111851e-05,0.0019753310404769073,6.950720155363126e-05,8.113408088684082,0.2214757404372835,1.4956440925598145,0.0,1.603515625,0.0,0.071233,0.0,0.010737628384687245,0.010627966795361564,-0.002436154088140269,0.03706334901786973,8.714677625596571e-05,2.1574436355426988e-05,-0.03898225957049484,0.046034208073126894,-0.06293322692348025,0.05496959578238213,0.023989633723272452,0.013567506917977387,0.023963475661806455,0.013528607306558183,0.00014351650279509383,0.00011781693320156604,0.00028652474426961184,0.00023522437387297275,0.33060383796691895,0.2219550173034931,2.384185791015625e-06,0.0,0.0,0.0,0.00032000000000000084,0.0,0.010532135853850997,0.17059893063354678,1.042513401262878,0.02846921266214825
center_multiscale,C1 center multiscale,clean_val,3,0.9995331465919701,0.0004043069111972155,0.0004417379243286527,0.0005703622556274437,0.8857146478414594,0.01341121582224011,0.9995331465919701,0.0004043069111972155,2.171690450996654e-05,9.65361241770153e-07,0.9989549871119312,1.6026769985087732e-06,0.9989549871119312,1.6026769986184648e-06,0.9696581342315856,0.0032966910760844495,0.9845934690122894,0.001698663750183237,8.49937653541565,0.1604583322593491,1.4956440925598145,0.0,1.603515625,0.0,0.071233,0.0,-0.00046685340802987696,0.0004043069111972155,0.0004253444914729126,0.0005706918360616998,0.04964897639886123,0.01664766822437776,-0.00046685340802987696,0.0004043069111972155,-8.341197891345299e-08,1.042696548212602e-06,5.1051994614341e-06,1.9024659581435418e-06,5.105199461397092e-06,1.902465958119386e-06,0.0024641437642138517,0.006406601913007427,0.0012819627441944907,0.0033199531879124335,0.06514898935953777,0.05891782553509044,2.384185791015625e-06,0.0,0.0,0.0,0.00032000000000000084,0.0,-26.43397743062799,35.94312480702285,1.0076720987637031,0.006913964663653932
center_multiscale,C1 center multiscale,noise8_val,3,0.8006535947712418,0.1734184467917131,0.22399241308471796,0.05704417536096078,0.0003337824181879351,8.789375592787098e-05,0.9866946778711485,0.008746495796076219,0.287478801441359,0.05765868191229497,0.9138882442828932,0.015460490958012725,0.9138945779513414,0.015466036192689521,0.0008181914376295055,9.712597821063207e-05,0.0016350325478685463,0.0001939402793936774,7.7708297570546465,0.09150532238058352,1.4956440925598145,0.0,1.603515625,0.0,0.071233,0.0,-0.13165266106442575,0.1583376538880787,0.001263229735655504,0.023220716177277858,9.18927347060813e-05,2.9350908394652527e-05,0.05438842203548085,0.013144638865827347,0.06408122003126758,0.026631649292950754,0.02161236190006181,0.008359167393143253,0.021602650089233382,0.008323665568983115,-2.6934835007252917e-05,0.00010053891457733615,-5.377374833874884e-05,0.00020071888869090568,-0.011974493662516275,0.14537026896872673,2.384185791015625e-06,0.0,0.0,0.0,0.00032000000000000084,0.0,-0.002676555059140192,0.10198589054345336,0.9985637276787888,0.01877161063221222
center_ring,C2 center+ring,clean_val,3,1.0,0.0,2.0617653787857124e-05,1.264103501243273e-06,0.8839462209560424,0.017536466634842242,1.0,0.0,2.2122048407546163e-05,1.8727719905991146e-06,0.9989548289329125,1.7135284493055277e-06,0.9989548289652476,1.7135415804966671e-06,0.9690145740534254,0.005191204570222837,0.9842587731702576,0.002681198116358291,8.602579514185587,0.14280880442951088,1.4956440925598145,0.0,1.603515625,0.0,0.071281,0.0,0.0,0.0,4.224220932116949e-06,1.578698158578165e-06,0.047880549513444226,0.0209132074859174,0.0,0.0,3.2173191866617e-07,7.589610827909935e-07,4.947020442661969e-06,2.0399330600080403e-06,4.9470527777965385e-06,2.0399569810799744e-06,0.001820583586053785,0.0036643704597143717,0.0009472669021626615,0.0019011539489199385,0.16835196812947592,0.1845677942968867,2.384185791015625e-06,0.0,0.0,0.0,0.00036799999999999333,0.0,-0.25927122597986624,0.10368893748564513,1.020078452771733,0.022192950766978456
center_ring,C2 center+ring,noise8_val,3,0.9649859943977592,0.023236218519659773,0.18436891986253703,0.0344764241665757,0.00032883513411244265,5.119889844665977e-05,0.9761904761904763,0.011945883829994404,0.24141636817094214,0.029338377167493858,0.9181151206037748,0.008734833748382216,0.9181472522116908,0.00875884749455621,0.000859776581490015,5.516661917581261e-05,0.0017180719539994403,0.00011014675053717966,7.782331784566243,0.045511456644168065,1.4956440925598145,0.0,1.603515625,0.0,0.071281,0.0,0.03267973856209153,0.01191162541752856,-0.03836026348652541,0.01112250446552829,8.694545063058888e-05,4.510430497037433e-05,0.04388422035480862,0.011932192268097174,0.018018786760850697,0.015721651037050796,0.025839238220943434,0.015342185738107028,0.025855324349582782,0.015330637192953661,1.4650308853256648e-05,7.288644041427102e-05,2.926565779214508e-05,0.00014551928322017758,-0.00047246615091959637,0.06791798020710081,2.384185791015625e-06,0.0,0.0,0.0,0.00036799999999999333,0.0,0.17070037737396984,0.017901524321101567,0.9999851493919222,0.00877465280270045
