run_id,variant,variant_label,seed,gpu,condition,baseline_target_fa,baseline_target_pd,pd_at_fixed_fa,fa_at_fixed_pd,low_fa_pauc,pd_at_0_5,fa_at_0_5,auc,auc_dense_grid,pixel_iou_at_0_5,pixel_f1_at_0_5,elapsed_seconds,cuda_peak_allocated_gib,cuda_peak_reserved_gib,parameters_m,checkpoint_epoch,pd_fixed_selected_threshold,pd_fixed_selected_is_endpoint,pd_fixed_plateau_threshold_min,pd_fixed_plateau_threshold_max,pd_fixed_plateau_points,fa_fixed_selected_threshold,fa_fixed_selected_is_endpoint,fa_fixed_plateau_threshold_min,fa_fixed_plateau_threshold_max,fa_fixed_plateau_points,low_fa_internal_unique_points,low_fa_empirical_points_at_or_below_cap,low_fa_min_empirical_fa,low_fa_max_empirical_fa_below_cap,low_fa_cap_empirically_bracketed,low_fa_origin_interpolation_only,low_fa_support,delta_pd_at_fixed_fa,delta_fa_at_fixed_pd,delta_low_fa_pauc,delta_pd_at_0_5,delta_fa_at_0_5,delta_auc,delta_auc_dense_grid,delta_pixel_iou_at_0_5,delta_pixel_f1_at_0_5,delta_elapsed_seconds,delta_cuda_peak_allocated_gib,delta_cuda_peak_reserved_gib,delta_parameters_m,fa_at_fixed_pd_relative_reduction,latency_ratio
c0_temporal_control_seed51,temporal_control,C0 temporal control,51,2,clean_val,2.110025166585638e-05,1.0,1.0,1.9518403065747705e-05,0.8612504815464666,1.0,2.0117181914376413e-05,0.9989524120810456,0.9989524120810453,0.9724385224162441,0.986026698794144,8.508538007736206,1.4956440925598145,1.603515625,0.071233,32,0.02,False,0.02,0.99,98,0.99,False,0.99,0.99,1,76,76,1.3861283495867532e-05,2.4889538707924615e-05,True,False,empirical-internal-support,0.0,3.21731918666171e-06,0.02426132033732642,0.0,-9.830697514799662e-07,2.4378195990770735e-06,2.437819598855029e-06,0.001268345785809255,0.00065243923571634,0.16724348068237305,2.384185791015625e-06,0.0,0.00032000000000000084,-0.19736842105263164,1.0200500629896165
c0_temporal_control_seed51,temporal_control,C0 temporal control,51,2,noise8_val,0.18111922491205995,0.9110644257703081,0.9313725490196079,0.15840619369691422,0.0003833039707485926,0.9229691876750701,0.17414010888838047,0.9247413957602303,0.9247626197905664,0.0009789104687083295,0.0019559062802830774,7.983547925949097,1.4956440925598145,1.603515625,0.071233,32,0.3,False,0.3,0.31,2,0.87,False,0.87,0.87,1,0,0,0.037681001015242944,nan,False,True,origin-interpolation-only,0.02030812324929976,-0.022384105013298267,6.735194183902306e-05,0.011904761904761973,-0.0069791160236794825,0.0110051552821131,0.011030136058931328,8.8806317792208e-06,1.772669844856637e-05,0.13373374938964844,2.384185791015625e-06,0.0,0.00032000000000000084,0.12381253404076506,1.0170365497044496
c1_center_multiscale_seed47,center_multiscale,C1 center multiscale,47,0,clean_val,2.34596190694083e-05,1.0,0.9992997198879552,0.0010905997082963938,0.871030959142029,0.9992997198879552,2.2556982297594874e-05,0.9989532608079444,0.9989532608079442,0.9667661565165852,0.9831022903392458,8.662026643753052,1.4956440925598145,1.603515625,0.071233,32,0.23,False,0.23,0.99,77,1e-05,False,1e-05,1e-05,1,88,88,1.2547544827980667e-05,3.8929562158606686e-05,True,False,empirical-internal-support,-0.0007002801120448154,0.0010746561043269369,0.030466998836598203,-0.0007002801120448154,-9.026367718134254e-07,2.9290665881642752e-06,2.9290665881642752e-06,0.009055237097271074,0.004703579968477367,0.11447620391845703,2.384185791015625e-06,0.0,0.00032000000000000084,-67.4035874439462,1.0133928667311465
c1_center_multiscale_seed47,center_multiscale,C1 center multiscale,47,0,noise8_val,0.2188744834415306,0.9411764705882353,0.9705882352941176,0.19236547137300883,0.0003247089216562845,0.9838935574229691,0.25266831941544887,0.9182592375768872,0.9182467770832988,0.0009031441592777839,0.0018046584518153195,7.671817064285278,1.4956440925598145,1.603515625,0.071233,32,0.93,False,0.93,0.93,1,0.99,False,0.99,0.99,1,0,0,0.05774402472331055,nan,False,True,origin-interpolation-only,0.02941176470588236,-0.02483274408728231,0.00010774501037175182,0.04271708683473385,0.033793835973918274,0.029639213082028326,0.02959823918789506,6.977908937144792e-05,0.00013931615010632907,-0.12616848945617676,2.384185791015625e-06,0.0,0.00032000000000000084,0.11433217365371176,0.9838203740457506
c1_center_multiscale_seed49,center_multiscale,C1 center multiscale,49,1,clean_val,2.0841078731375297e-05,1.0,0.9992997198879552,0.0002150152286441502,0.888795896638395,0.9992997198879552,2.1931392455743986e-05,0.9989552727871112,0.998955272787111,0.9689604065212788,0.9842355420779835,8.494899272918701,1.4956440925598145,1.603515625,0.071233,32,0.76,False,0.76,0.99,24,0.0001,False,0.0001,0.0001,1,101,101,1.0876326250464724e-05,4.9216046558183433e-05,True,False,empirical-internal-support,-0.0007002801120448154,0.0001980796179254726,0.05815200382517116,-0.0007002801120448154,1.0903137243686895e-06,5.933052504292213e-06,5.933052504181191e-06,-0.0037404688310875844,-0.0019260067971051953,0.08106160163879395,2.384185791015625e-06,0.0,0.00032000000000000084,-11.696042216358839,1.0096343196536217
c1_center_multiscale_seed49,center_multiscale,C1 center multiscale,49,1,noise8_val,0.27019903587668376,0.9446778711484594,0.8074229691876751,0.2898442728143678,0.0002507773702840121,0.9964985994397759,0.3540337764892613,0.8967128312291683,0.8967187434693575,0.0007123058349175722,0.0014235976329346302,7.852282762527466,1.4956440925598145,1.603515625,0.071233,32,1.0,True,1.0,1.0,1,0.99,False,0.99,0.99,1,0,0,0.08049200853662024,nan,False,True,origin-interpolation-only,-0.13725490196078427,0.019645236937684052,5.802426003255305e-05,0.051820728291316565,0.08383474061257756,0.02224144905365033,0.02222398151007232,-1.9678076157258204e-05,-3.9299372143753765e-05,0.15166974067687988,2.384185791015625e-06,0.0,0.00032000000000000084,-0.07270653973262121,1.0196958008728025
c1_center_multiscale_seed51,center_multiscale,C1 center multiscale,51,2,clean_val,2.110025166585638e-05,1.0,1.0,1.959883604541425e-05,0.8973170877439545,1.0,2.0662338776560756e-05,0.9989564277407383,0.9989564277407383,0.9732478396568929,0.9864425746196389,8.341203689575195,1.4956440925598145,1.603515625,0.071233,32,0.21,False,0.21,0.99,79,0.99,False,0.99,0.99,1,85,85,9.70557954642949e-06,3.8080547373237625e-05,True,False,empirical-internal-support,0.0,3.2977521663282544e-06,0.060327926534814336,0.0,-4.379128892956231e-07,6.4534792918458095e-06,6.4534792918458095e-06,0.0020776630264580653,0.0010683150612113002,-9.083747863769531e-05,2.384185791015625e-06,0.0,0.00032000000000000084,-0.2023026315789475,0.9999891099063409
c1_center_multiscale_seed51,center_multiscale,C1 center multiscale,51,2,noise8_val,0.18111922491205995,0.9110644257703081,0.6239495798319328,0.18976749506677726,0.0004258609626235086,0.9796918767507002,0.25573430841936684,0.926692664042624,0.9267182133013678,0.0008391243186931602,0.0016768415588556893,7.788389444351196,1.4956440925598145,1.603515625,0.071233,32,1.0,True,1.0,1.0,1,0.99,False,0.99,0.99,1,0,0,0.036628714216261044,nan,False,True,origin-interpolation-only,-0.28711484593837533,0.00897719635656477,0.00010990893371393904,0.06862745098039214,0.07461508350730689,0.01295642356450677,0.012985729569732762,-0.00013090551823594847,-0.0002613380229788218,-0.06142473220825195,2.384185791015625e-06,0.0,0.00032000000000000084,-0.04965529909851112,0.9921750081178132
c2_center_ring_seed47,center_ring,C2 center+ring,47,0,clean_val,2.34596190694083e-05,1.0,1.0,2.1985014442188348e-05,0.8643356232875511,1.0,2.419245288414791e-05,0.9989529312248608,0.9989529312248606,0.9631609969686763,0.9812348538463188,8.645410060882568,1.4956440925598145,1.603515625,0.071281,32,0.89,False,0.89,0.99,11,0.99,False,0.99,0.99,1,90,90,1.3289315640461006e-05,3.2405553807875995e-05,True,False,empirical-internal-support,0.0,6.041410472731433e-06,0.0237716629821203,0.0,7.328338147396106e-07,2.5994835045617393e-06,2.5994835045617393e-06,0.00545007754936222,0.00283614347555039,0.09785962104797363,2.384185791015625e-06,0.0,0.00036799999999999333,-0.37892376681614354,1.0114488497888137
c2_center_ring_seed47,center_ring,C2 center+ring,47,0,noise8_val,0.2188744834415306,0.9411764705882353,0.9621848739495799,0.18387719135184602,0.0002762429138278707,0.9726890756302521,0.23539791088740813,0.9097252377215114,0.9097301924637787,0.0008810699507419018,0.0017605886996848955,7.740703582763672,1.4956440925598145,1.603515625,0.071281,32,0.82,False,0.82,0.82,1,0.99,False,0.99,0.99,1,0,0,0.06781166885921011,nan,False,True,origin-interpolation-only,0.021008403361344574,-0.03332102410844512,5.927900254333802e-05,0.031512605042016806,0.016523427445877537,0.021105213226652486,0.021081654568374963,4.770488083556581e-05,9.524639797590505e-05,-0.0572819709777832,2.384185791015625e-06,0.0,0.00036799999999999333,0.153412973664772,0.9926542604390567
c2_center_ring_seed49,center_ring,C2 center+ring,49,1,clean_val,2.0841078731375297e-05,1.0,1.0,2.0376354848857495e-05,0.8893816220399563,1.0,2.162753453255927e-05,0.9989552928046094,0.9989552929016149,0.9708231804216548,0.9851956178168643,8.443256616592407,1.4956440925598145,1.603515625,0.071281,32,0.91,False,0.91,0.98,8,0.98,False,0.98,0.98,1,92,92,1.0956759230131267e-05,3.587310893127806e-05,True,False,empirical-internal-support,0.0,3.4407441301798833e-06,0.05873772922673248,0.0,7.864558011839723e-07,5.953070002506777e-06,5.953167008021509e-06,-0.0018776949307115487,-0.0009659310582244007,0.0294189453125,2.384185791015625e-06,0.0,0.00036799999999999333,-0.2031662269129287,1.0034964954711356
c2_center_ring_seed49,center_ring,C2 center+ring,49,1,noise8_val,0.27019903587668376,0.9446778711484594,0.9894957983193278,0.21908857815940744,0.0003317459716177531,0.9894957983193278,0.273297278505448,0.9174618954297514,0.9174996273997917,0.0007971366262349197,0.0015930034111051304,7.775367975234985,1.4956440925598145,1.603515625,0.071281,32,0.58,False,0.58,0.67,10,0.99,False,0.99,0.99,1,0,0,0.052402908456544744,nan,False,True,origin-interpolation-only,0.04481792717086841,-0.05111045771727632,0.00013899286136629405,0.04481792717086841,0.003098242628764236,0.04299051325423342,0.04300486544050652,6.51527151600892e-05,0.00013010640602674635,0.07475495338439941,2.384185791015625e-06,0.0,0.00036799999999999333,0.18915854955382833,1.0097076626461141
c2_center_ring_seed51,center_ring,C2 center+ring,51,2,clean_val,2.110025166585638e-05,1.0,1.0,1.9491592072525525e-05,0.89812141754062,1.0,2.0546157805931306e-05,0.9989562627692674,0.9989562627692673,0.9730595447699455,0.9863458478475896,8.719071865081787,1.4956440925598145,1.603515625,0.071281,32,0.21,False,0.21,0.99,79,0.99,False,0.99,0.99,1,85,85,9.955815483169846e-06,3.337968656161524e-05,True,False,empirical-internal-support,0.0,3.190508193439531e-06,0.061132256331479895,0.0,-5.540938599250728e-07,6.288507820917388e-06,6.288507820806366e-06,0.0018893681395106832,0.0009715882891619954,0.3777773380279541,2.384185791015625e-06,0.0,0.00036799999999999333,-0.19572368421052647,1.04529001305525
c2_center_ring_seed51,center_ring,C2 center+ring,51,2,noise8_val,0.18111922491205995,0.9110644257703081,0.9432773109243697,0.1501409900763577,0.0003785165168917041,0.9663865546218487,0.21555391511997027,0.9271582286600616,0.9272119367715019,0.0009011231674932236,0.001800623751208295,7.830923795700073,1.4956440925598145,1.603515625,0.071281,32,0.92,False,0.92,0.92,1,0.99,False,0.99,0.99,1,0,0,0.042135227500214485,nan,False,True,origin-interpolation-only,0.03221288515406162,-0.030649308633854788,6.256448798213455e-05,0.05532212885154064,0.03443469020791032,0.0134219881819444,0.013479453039866862,-6.890666943588507e-05,-0.00013755583062621617,-0.018890380859375,2.384185791015625e-06,0.0,0.00036799999999999333,0.16952960890330931,0.9975935250905958
