auc_order,run_id,model,structure_variant,status,checkpoint_epoch,low_snr_pd,low_snr_fa,low_snr_auc,all_pd,all_fa,all_auc,parameters_m,pixel_iou,pixel_f1,elapsed_seconds,delta_pd_vs_baseline,delta_fa_vs_baseline,delta_auc_vs_baseline
21,brtd3_raw_apmd_multiscale_contrast,DeepPro-Plus_BRTD3,raw_apmd_multiscale_contrast,done,20,95.84120982986768,1.2242252118156742,0.9983109524204142,98.72758820127241,2.626425544425894,0.9986871658148586,0.073401,0.8681802426343155,0.929439486427816,15.100590467453003,-0.8675534991324412,0.06575511434965575,-0.00020854639106049344
11,brtd3_raw_apmd_hybrid_rms,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms,done,28,98.10964083175804,1.383906761182936,0.9991091039135085,99.42163100057837,2.7224128952581492,0.9989116569020731,0.073409,0.8657001535050316,0.9280163823524035,12.404916524887085,-0.1735106998264797,0.16174246518191104,1.594469615395777e-05
20,brtd3_raw_apmd_hybrid_rms_scratch_init,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms_scratch_init,done,20,92.62759924385632,1.2280271534672758,0.9984061050479424,97.74436090225564,2.5644494596365632,0.9987110632765478,0.073409,0.8661324041811846,0.928264685014377,10.213849067687988,-1.8507807981492164,0.0037790295603250534,-0.0001846489293713116
26,brtd3_raw_apmd_hybrid_rms_scratch_bandpass,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms_scratch_bandpass,done,20,86.57844990548205,1.5492912230276001,0.9932441422976492,95.89358010410642,2.679331958270444,0.9971477929466985,0.073985,0.8599724513103063,0.9247152566205765,11.24551272392273,-3.7015615962984327,0.11866152819420561,-0.0017479192592205761
5,brtd3_raw_apmd_hybrid_rms_scratch_detail,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms_scratch_detail,done,30,95.46313799621929,1.4808562732987738,0.9991670236556917,98.61191440138809,2.7428196548839043,0.9989299009726963,0.074257,0.8659070238360819,0.9281352315785601,16.32333016395569,-0.983227299016761,0.18214922480766615,3.418876677718785e-05
18,brtd3_raw_apmd_hybrid_rms_motion_detrend,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms_motion_detrend,done,20,92.06049149338375,1.551192193853401,0.9989014477358995,97.57085020242914,2.667994869589469,0.9988676619404512,0.073409,0.8639396526192924,0.9270038881411694,10.417514562606812,-2.0242914979757103,0.1073244395132309,-2.8050265467927105e-05
13,brtd3_raw_apmd_hybrid_rms_multiscale_contrast,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms_multiscale_contrast,done,20,95.08506616257088,1.349689286318523,0.9990893473465141,98.49624060150376,2.6135768439207885,0.9989051992727552,0.073433,0.8710178574545708,0.931063115174698,10.614302635192871,-1.098901098901095,0.052906413844550304,9.487066836122438e-06
23,brtd3_raw_apmd_hybrid_rms_motion_detrend_multiscale_contrast,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms_motion_detrend_multiscale_contrast,done,24,94.7069943289225,1.6576465600982422,0.9980092993624169,98.38056680161942,2.7987492923767148,0.9985835152215522,0.073433,0.8627642276422764,0.9263268156424581,10.540722370147705,-1.214574898785429,0.2380788623004766,-0.0003121969843669081
8,brtd3_second_order,DeepPro-Plus_BRTD3,second_order,done,20,97.54253308128544,1.8591494676331204,0.9991516031708093,99.24812030075188,2.89775986685723,0.9989246877150837,0.072202,0.8558543284391849,0.9223292101368511,10.677324771881104,-0.34702139965297363,0.337089436780992,2.8975509164586022e-05
28,brtd3_lfp_shallow,DeepPro-Plus_BRTD3,lfp_shallow,done,32,97.92060491493385,31958.743230167645,0.8358121471662043,99.3637941006362,31957.24783858404,0.8380749989826015,0.071418,0.0012148395956416743,0.0024267311022523577,9.140773057937622,-0.23134759976865382,31954.687168153963,-0.1608207132233176
10,brtd3_lfp_deep,DeepPro-Plus_BRTD3,lfp_deep,done,20,98.67674858223062,2.0910679083808104,0.9991224968998095,99.59514170040485,2.976363681711991,0.9989171610291212,0.071802,0.8556298113526775,0.9221988201719595,10.499190330505371,0.0,0.41569325163575277,2.1448823202097067e-05
15,brtd3_global_align,DeepPro-Plus_BRTD3,global_align,done,20,97.92060491493385,1.8781591758911276,0.9990198105344421,99.3637941006362,2.8939808372969056,0.9988896625697249,0.07318,0.860848896434635,0.9252217072369622,10.312615633010864,-0.23134759976865382,0.3333104072206674,-6.04963619421639e-06
9,brtd3_local_align,DeepPro-Plus_BRTD3,local_align,done,32,98.48771266540642,2.34959994068971,0.9991457000814323,99.5373048004627,3.088978762609677,0.9989233529176924,0.07318,0.8511789135240136,0.9196073997014791,10.424540519714355,-0.05783689994214569,0.528308332533439,2.7640711773302407e-05
4,brtd3_multiscale_head,DeepPro-Plus_BRTD3,multiscale_head,done,30,99.24385633270322,1.9960193670907733,0.9991750483578768,99.76865240023135,2.9483988629655857,0.9989299175838153,0.072194,0.8500651890482399,0.9189570119802678,10.984795570373535,0.17351069982649392,0.38772843288934755,3.420537789622369e-05
16,brtd3_bidirectional,DeepPro-Plus_BRTD3,bidirectional,done,10,97.92060491493385,1.644339764317637,0.9990110327747025,99.3637941006362,2.8622369889901753,0.9988814834645802,0.071798,0.8413594431678156,0.9138459590707264,10.399993181228638,-0.23134759976865382,0.30156655891393713,-1.4228741338939699e-05
2,brtd3_tdc_dual_stream,DeepPro-Plus_BRTD3,tdc_dual_stream,done,24,98.86578449905483,1.7526951013882792,0.9991774490252966,99.65297860034703,2.830493140683445,0.9989317665106376,0.072106,0.8572149938563566,0.923118752209101,12.004688739776611,0.057836899942174114,0.26982271060720686,3.605430471853577e-05
