auc_order,run_id,model,structure_variant,status,checkpoint_epoch,low_snr_pd,low_snr_fa,low_snr_auc,all_pd,all_fa,all_auc,parameters_m,pixel_iou,pixel_f1,elapsed_seconds,delta_pd_vs_baseline,delta_fa_vs_baseline,delta_auc_vs_baseline
26,deeppro,DeepPro,-,done,32,34.78260869565217,3.876079513807702,0.8789707424886237,51.821862348178136,3.1449084001024876,0.9080276691355835,0.049129,0.2869100138998006,0.4458897837469769,11.355581760406494,-23.30827067669174,1.7368419859253827,-0.06886361821271025
14,deeppro_plus,DeepPro-Plus,-,done,32,64.27221172022685,1.6139242311048254,0.9714231564004917,75.13013302486988,1.4080664141771049,0.9768912873482938,0.070913,0.4995355626326964,0.6662537055882483,9.389267921447754,0.0,0.0,0.0
25,deeppro_tdcr,DeepPro_TDCR,-,done,18,36.86200378071834,9.388894908629837,0.8858751020913866,53.15211104684789,7.2005629242433065,0.9117195305203473,0.049233,0.28631176198957714,0.4451669812094855,11.406457424163818,-21.978021978021985,5.792496510066202,-0.06517175682794651
28,deeppro_plus_tdcsta,DeepPro-Plus_TDCSTA,-,done,32,0.0,0.0,0.49971559985136205,0.0,0.0,0.4995083446740684,0.150837,0.0,0.0,99.16252326965332,-75.13013302486988,-1.4080664141771049,-0.4773829426742254
22,deeppro_plus_moving,DeepPro-Plus_forMovingScenes,-,done,18,62.19281663516069,2.3534018823413114,0.9654577983524387,74.55176402544824,1.6196920695553063,0.9687616632561977,0.129041,0.4751517062022224,0.644207242149352,12.55029821395874,-0.5783689994216417,0.21162565537820144,-0.008129624092096055
10,brtd1,DeepPro-Plus_BRTD,-,done,18,67.86389413988658,3.2126406956032447,0.9669485950681062,78.25332562174667,2.5379962527142883,0.9784900705259545,0.071802,0.50365174084028,0.6699047753688313,14.570761680603027,3.123192596876791,1.1299298385371834,0.001598783177660712
24,brtd2,DeepPro-Plus_BRTD2,-,done,32,62.75992438563327,1.7812096637752899,0.9513361145937986,75.88201272411798,2.2175345459987255,0.9558127190217832,0.072197,0.5238430744595677,0.6875288974822412,11.848022937774658,0.7518796992481072,0.8094681318216206,-0.02107856832651056
29,feedbacksts,DeepPro-FeedbackSTS,-,done,2,3.9697542533081283,3835.6325575471396,0.4957745337093749,5.1474840948525165,4180.634589759888,0.49815390323795633,5.678329,0.00038894751839669856,0.0007775925940836046,20.874870777130127,-69.98264893001736,4179.22652334571,-0.47873738411033745
16,pointcenter,DeepPro-Plus_BRTD3_PointCenter,raw_apmd_hybrid_rms,done,12,70.69943289224952,1.9618018922263603,0.9739516622575822,79.17871602082128,2.2893361076449015,0.975533574267064,0.084725,0.5099742059555243,0.6754740629927627,30.10622215270996,4.048582995951406,0.8812696934677966,-0.0013577130812297833
2,brtd3_raw_apmd,DeepPro-Plus_BRTD3,raw_apmd,done,30,58.60113421550095,1.6823591808336515,0.9732067237352482,75.13013302486988,2.095093988244195,0.9819495229150907,0.073409,0.5349616935810427,0.6970358880200914,10.515009880065918,0.0,0.6870275740670899,0.005058235566796965
