variant,variant_label,n,pd_at_fixed_fa_mean,pd_at_fixed_fa_sd,fa_at_fixed_pd_mean,fa_at_fixed_pd_sd,auc_mean,auc_sd,pd_at_0_5_mean,pd_at_0_5_sd,fa_at_0_5_mean,fa_at_0_5_sd,pixel_f1_at_0_5_mean,pixel_f1_at_0_5_sd,elapsed_seconds_mean,elapsed_seconds_sd,delta_pd_at_fixed_fa_mean,delta_pd_at_fixed_fa_sd,delta_fa_at_fixed_pd_mean,delta_fa_at_fixed_pd_sd,delta_auc_mean,delta_auc_sd,delta_pd_at_0_5_mean,delta_pd_at_0_5_sd,delta_fa_at_0_5_mean,delta_fa_at_0_5_sd,delta_pixel_f1_at_0_5_mean,delta_pixel_f1_at_0_5_sd,fa_at_fixed_pd_relative_reduction_mean,fa_at_fixed_pd_relative_reduction_sd,latency_ratio_mean,latency_ratio_sd
none,B1 DeepPro-Plus,3,0.7815126050420168,0.03370086671012874,1.2773948770745751e-05,4.291781675639067e-06,0.9412878150805728,0.013489037657008662,0.7815126050420168,0.03370086671012874,1.2916940734597382e-05,4.4189033302062485e-06,0.6638231742575873,0.007709066602008664,8.398123025894165,0.0819413652029819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
temporal_control,C0 temporal control,3,0.7544351073762838,0.05100199878676239,2.1785421492645445e-05,1.9643450557212184e-05,0.9491420438057601,0.0309505041153652,0.8006535947712418,0.04035177425292614,1.678963975557907e-05,8.575128890853458e-06,0.6659618757736245,0.008897563309099438,8.744333187739054,0.12608163050842291,-0.027077497665732975,0.04752799280411186,9.011472721899696e-06,1.5518728807966955e-05,0.007854228725187262,0.026914147804619627,0.019140989729225028,0.04170244993453828,3.872699020981687e-06,8.320538481319081e-06,0.0021387015160371967,0.00973272836021567,-0.5052057638890016,0.9215587788045931,1.0412790679691293,0.01715989993953043
center_multiscale,C1 center multiscale,3,0.7934173669467787,0.007891756071137743,1.625341989113545e-05,1.3904062445364444e-05,0.9743048715936004,0.003898050410596399,0.8008870214752567,0.006506703951805061,1.7096476678010693e-05,5.583664254400585e-06,0.6766721263079747,0.004286688527941328,8.37362535794576,0.19032840411572644,0.011904761904761937,0.03370814158699927,3.4794711203897005e-06,9.859628420062276e-06,0.03301705651302759,0.01436941957809947,0.019374416433239967,0.033160561751547864,4.179535943413312e-06,1.1737899692729884e-06,0.012848952050387386,0.010626685474894643,-0.14019353135650167,0.6257208510710218,0.9972359503747327,0.02950478621834626
center_ring,C2 center+ring,3,0.7780112044817927,0.014571885186754018,2.264039427650833e-05,1.9792337604641776e-05,0.9723036135426087,0.004549452836987914,0.7831465919701214,0.014959355714297037,1.6372579861011812e-05,7.22401359352367e-06,0.6670327791327691,0.0029979704017308252,8.359348058700562,0.24962195124061995,-0.003501400560224077,0.022044924704057722,9.866445505762576e-06,1.555643304375191e-05,0.03101579846203591,0.01798058112472224,0.0016339869281046064,0.0212674658821533,3.4556391264144285e-06,2.868892277071584e-06,0.0032096048751817743,0.010319740131482449,-0.559985231988707,0.9494587577654352,0.9955852177214677,0.03717482147470197
